SRC_POLICE_PRECINCT,lat,lon,hr
050,40.882767,-73.8886,10
078,40.669342,-73.97291,17
094,40.71977,-73.96232,13
042,40.8291,-73.90554,09
063,40.623875,-73.93547,14
070,40.619083,-73.950264,09
048,40.83928,-73.886604,15
046,40.857327,-73.904526,18
046,40.85517,-73.89711,23
048,40.842846,-73.881424,19
049,40.839676,-73.871216,11
025,40.8115,-73.93481,18
034,40.848118,-73.93089,05
069,40.646263,-73.90457,13
069,40.63082,-73.88636,20
073,40.656456,-73.908325,08
073,40.6614,-73.909615,11
040,40.806965,-73.911674,09
072,40.64204,-74.0204,12
115,40.75837,-73.87925,05
110,40.74238,-73.88189,18
083,40.68949,-73.92207,03
072,40.638523,-74.01,23
062,40.61134,-73.997215,21
102,40.70224,-73.81677,16
103,40.699017,-73.80696,23
043,40.828495,-73.856544,20
104,40.725006,-73.8792,08
107,40.728657,-73.82948,18
104,40.71032,-73.89937,19
090,40.71528,-73.93386,12
067,40.643974,-73.93715,08
090,40.701077,-73.94043,05
114,40.761803,-73.92221,19
108,40.748913,-73.9374,06
108,40.74473,-73.93359,14
114,40.774933,-73.91915,16
109,40.778713,-73.79369,14
109,40.757755,-73.79304,01
105,40.73006,-73.73673,09
105,40.665848,-73.74822,00
105,40.67753,-73.73085,09
105,40.713715,-73.73144,13
075,40.67258,-73.89122,21
100,40.593124,-73.79148,18
020,40.781025,-73.981316,14
020,40.774807,-73.98442,23
030,40.83096,-73.94947,15
009,40.727657,-73.99128,22
076,40.689865,-73.995674,11
033,40.832664,-73.9422,09
101,40.608543,-73.75666,18
010,40.73975,-74.00253,01
007,40.714264,-73.980934,00
010,40.758377,-73.994385,10
033,40.841404,-73.94052,20
088,40.698036,-73.962845,03
088,40.685028,-73.971245,00
088,40.68973,-73.96555,18
081,40.68121,-73.92243,19
032,40.808174,-73.9424,14
044,40.830067,-73.92915,15
052,40.887444,-73.878006,22
061,40.586117,-73.93604,06
043,40.83569,-73.86857,10
061,40.602726,-73.936134,17
019,40.76661,-73.965,11
103,40.70953,-73.7964,12
043,40.836384,-73.87039,18
103,40.695446,-73.81157,21
104,40.705223,-73.87857,06
106,40.680668,-73.836334,14
047,40.879265,-73.86277,10
104,40.72826,-73.89133,13
113,40.691067,-73.75192,08
114,40.7546,-73.90693,14
026,40.811058,-73.953316,12
028,40.799,-73.95189,07
005,40.719322,-73.99731,06
033,40.8478,-73.93486,22
005,40.72072,-73.99388,20
123,40.562534,-74.19207,23
023,40.787506,-73.9383,20
023,40.79996,-73.94698,13
081,40.686653,-73.92733,15
114,40.753315,-73.92911,13
090,40.70278,-73.946915,22
108,40.746593,-73.92085,08
109,40.76394,-73.828156,17
105,40.689735,-73.72674,08
105,40.721325,-73.75148,19
105,40.67877,-73.73586,20
032,40.8282,-73.93712,11
041,40.827656,-73.8861,09
041,40.827656,-73.8861,21
094,40.722214,-73.95303,10
042,40.839565,-73.90475,16
070,40.61891,-73.96116,15
046,40.855785,-73.90558,19
025,40.809246,-73.93598,18
111,40.768707,-73.72889,09
079,40.6843,-73.94121,00
079,40.6997,-73.94425,09
111,40.76952,-73.78998,23
073,40.657333,-73.899445,18
073,40.672073,-73.91135,23
072,40.63757,-74.01457,11
066,40.644802,-73.97769,12
066,40.61061,-73.97121,09
115,40.755165,-73.8891,03
115,40.750862,-73.87045,07
115,40.757977,-73.88297,18
044,40.845177,-73.91417,11
062,40.616127,-73.98986,18
061,40.60164,-73.95184,15
068,40.604763,-74.02746,16
107,40.719475,-73.79263,14
106,0.0,0.0,21
104,40.70193,-73.90621,17
006,40.73141,-74.00313,10
010,40.760822,-73.99832,20
010,40.759525,-73.99925,22
101,40.609848,-73.750534,10
014,40.75734,-73.98602,18
023,40.790405,-73.94762,15
014,40.74817,-73.9898,11
001,40.70495,-74.01156,11
060,40.579197,-73.98195,16
032,40.82598,-73.93591,00
060,40.576275,-73.98796,05
060,40.588097,-73.98364,15
081,40.680126,-73.931946,05
041,40.81792,-73.891235,08
050,40.880013,-73.90921,14
084,40.688274,-73.9894,17
050,40.87626,-73.90395,22
063,40.63413,-73.928505,23
048,40.85631,-73.88818,01
048,40.840103,-73.88619,17
070,40.635475,-73.95046,18
070,40.634506,-73.949455,21
112,40.73011,-73.86509,10
046,40.844578,-73.902695,07
112,40.725258,-73.83936,21
112,40.737682,-73.85206,09
034,40.866474,-73.932175,01
049,40.86513,-73.83873,14
079,40.678318,-73.94693,12
079,40.697582,-73.94965,20
040,40.809814,-73.92457,02
040,40.81165,-73.91448,04
052,40.858746,-73.905,19
110,40.736076,-73.87663,05
115,40.75503,-73.88242,00
040,40.8149,-73.9075,21
044,40.822838,-73.928764,19
110,40.747242,-73.88766,18
083,40.69304,-73.924446,04
102,40.709156,-73.84107,14
083,40.687935,-73.9154,22
068,40.60459,-74.02212,11
122,40.56935,-74.11089,04
107,40.73407,-73.784874,01
107,40.7265,-73.75571,14
113,40.69471,-73.751305,17
114,40.769794,-73.90981,02
090,40.7124,-73.95136,22
114,40.768814,-73.91077,04
104,40.72231,-73.886986,21
067,40.654312,-73.91759,08
108,40.739613,-73.9249,16
017,40.746033,-73.9768,21
109,40.75895,-73.83192,16
109,40.73973,-73.81762,22
105,40.728287,-73.72342,18
105,40.71122,-73.72827,01
105,40.74266,-73.72108,11
105,40.73137,-73.73633,18
075,40.677834,-73.88509,09
075,40.684414,-73.869514,23
100,40.58886,-73.80203,12
026,40.817596,-73.95319,20
006,40.72891,-74.000694,20
009,40.725082,-73.99534,01
006,40.733246,-74.00517,22
076,40.67964,-73.999466,18
101,40.60426,-73.75286,12
005,40.72106,-73.99821,20
033,40.83923,-73.94555,16
010,40.748093,-73.99351,08
007,40.717724,-73.98577,06
033,40.833096,-73.94066,19
018,40.766445,-73.98333,20
023,40.7963,-73.93829,06
018,40.754677,-73.975815,09
014,40.749687,-73.99344,12
081,40.691387,-73.936745,04
023,40.794655,-73.94873,09
007,40.719593,-73.986755,21
081,40.68814,-73.92375,15
060,40.577003,-74.00217,18
060,40.586308,-73.96943,07
017,40.757637,-73.96342,18
081,40.68902,-73.92122,09
017,40.753944,-73.972145,17
041,40.820034,-73.89049,18
078,40.667305,-73.98247,07
041,40.812946,-73.8899,14
084,40.69613,-73.987114,13
094,40.73024,-73.9539,08
050,40.886528,-73.89979,08
041,40.815754,-73.89529,22
042,40.837654,-73.89997,08
094,40.72978,-73.94613,13
063,40.620064,-73.93791,07
063,40.617382,-73.93114,12
070,40.610947,-73.953606,22
063,40.632313,-73.93703,19
025,40.805286,-73.939575,07
046,40.846733,-73.90649,18
042,40.83394,-73.9087,11
120,40.61392,-74.122505,12
048,40.846207,-73.897385,14
034,40.848736,-73.93234,11
112,40.711372,-73.85034,15
079,40.695004,-73.9525,17
069,40.628597,-73.9024,19
069,40.632065,-73.91861,07
077,40.681118,-73.96443,07
079,40.68871,-73.95499,15
111,40.7452,-73.778046,08
014,40.757908,-73.9893,20
111,40.76292,-73.78573,13
079,40.68064,-73.95338,07
070,40.629986,-73.97157,09
052,40.861862,-73.91275,03
073,40.68576,-73.915504,12
045,40.828518,-73.84119,09
040,40.821037,-73.91645,18
066,40.640667,-73.98986,20
115,40.757145,-73.86454,04
040,40.80488,-73.912796,12
052,40.87138,-73.88379,06
072,40.663795,-73.99778,03
072,40.646786,-74.008575,19
115,40.75729,-73.88948,13
040,40.80534,-73.92095,13
103,40.71152,-73.78402,01
044,40.83611,-73.92238,17
062,40.615433,-73.99775,16
061,40.588116,-73.97261,19
062,40.611404,-74.00952,06
083,40.69499,-73.9073,15
110,40.738373,-73.86008,09
061,40.593044,-73.967125,02
102,40.706036,-73.83142,16
110,40.756836,-73.83872,15
068,40.62658,-74.030785,17
110,40.743973,-73.8851,19
019,40.78211,-73.955795,13
072,40.652847,-73.977905,06
019,40.765865,-73.95742,23
083,40.699818,-73.920135,22
068,40.633038,-74.039314,08
102,40.69592,-73.83865,13
019,40.78326,-73.950745,13
102,40.69263,-73.85733,23
061,40.606503,-73.94408,18
104,40.69942,-73.86878,08
019,40.768875,-73.94898,09
043,40.8252,-73.867714,17
068,40.62984,-74.021255,12
104,40.713463,-73.905525,09
047,40.87835,-73.870346,05
102,40.692394,-73.84161,22
113,40.704006,-73.7668,09
047,40.885033,-73.859604,04
110,40.744358,-73.88597,17
047,40.88549,-73.82547,10
047,40.89551,-73.863495,08
114,40.764347,-73.92347,02
102,40.693657,-73.8398,10
067,40.665916,-73.92547,19
104,40.699585,-73.902245,22
114,40.753468,-73.91355,03
090,40.711754,-73.96811,22
090,40.70621,-73.939606,08
114,40.756157,-73.924324,08
067,40.658073,-73.92587,21
108,40.74054,-73.897316,18
109,40.778458,-73.76832,08
109,40.766006,-73.83522,14
109,40.76727,-73.82905,14
105,40.75225,-73.702095,16
105,40.712727,-73.72899,15
075,40.67175,-73.89685,10
075,40.649956,-73.884125,17
100,40.584385,-73.82328,07
026,40.808147,-73.95792,08
020,40.787045,-73.97759,22
026,40.803627,-73.963394,21
009,40.72461,-73.97535,12
030,40.817596,-73.95319,22
028,40.799442,-73.95245,17
009,40.73065,-73.98308,22
028,40.80641,-73.94227,08
101,40.60271,-73.75324,18
005,40.711895,-73.99958,19
005,40.712757,-73.9975,15
010,40.76258,-74.0004,07
013,40.740974,-73.99223,22
013,40.743206,-73.979965,16
033,40.84394,-73.93903,20
013,40.736378,-73.98494,19
023,40.787746,-73.94454,19
023,40.791557,-73.93866,22
033,40.842957,-73.93468,00
088,40.69325,-73.97287,19
023,40.793186,-73.94057,08
014,40.75624,-73.99145,11
088,40.68546,-73.97232,00
001,40.714363,-74.00677,12
014,40.74758,-73.99033,13
088,40.695995,-73.96964,18
001,40.720367,-74.005974,10
032,40.814632,-73.9442,01
081,40.67903,-73.9246,16
060,40.58425,-73.9638,15
001,40.721024,-74.00526,14
081,40.692738,-73.93292,06
032,40.812572,-73.950935,10
078,40.669243,-73.97767,11
032,40.810894,-73.94693,18
060,40.5758,-73.96114,16
071,40.66895,-73.9339,15
017,40.748985,-73.979965,09
032,40.81151,-73.94649,08
071,40.6577,-73.94058,20
078,40.683514,-73.97596,17
071,40.66768,-73.961815,09
050,40.89571,-73.89791,20
071,40.65743,-73.9451,18
071,40.65943,-73.94992,19
050,40.910263,-73.89721,15
063,40.624496,-73.945435,08
084,40.690544,-73.995445,13
070,40.62237,-73.96473,05
042,40.83829,-73.88624,12
048,40.84571,-73.88941,08
070,40.61721,-73.945076,08
042,40.827934,-73.890884,10
025,40.80275,-73.93358,18
046,40.85482,-73.9112,13
112,40.724434,-73.8693,23
049,40.860893,-73.84321,09
025,40.801495,-73.9344,06
079,40.699963,-73.948456,15
120,40.607212,-74.07682,21
112,40.709305,-73.84369,19
111,40.764153,-73.72454,16
112,40.724968,-73.84292,06
079,40.682976,-73.93961,10
111,40.76447,-73.79113,00
034,40.863018,-73.917564,07
112,0.0,0.0,17
077,40.678722,-73.952995,18
034,40.84992,-73.93148,13
073,40.668247,-73.90649,18
111,40.74581,-73.788795,23
045,40.829098,-73.836494,19
073,40.670868,-73.90817,16
066,40.611954,-73.96817,19
073,40.66366,-73.90146,06
